sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
0,36,0.0,729000,0.98,5,0,3,5,1
0,31,0.0,1349000,1.81,5,0,5,1,1
0,13,0.0,1099888,1.48,6,0,1,0,1
0,15,0.0,1098888,1.48,6,0,1,0,0
0,56,0.0,785000,1.05,4,0,2,1,0
0,42,0.0,829999,1.11,5,0,1,0,1
0,45,0.0,1080000,1.45,5,0,2,0,2
0,187,8.599999999999994,960000,1.29,11,0,1,6,0
0,39,3.799999999999997,999000,1.34,4,0,1,1,0
0,34,0.0,925000,1.24,5,0,1,0,0
0,49,0.0,1350000,1.81,5,0,1,0,1
0,64,8.400000000000006,1125000,1.51,4,0,1,3,2
0,56,2.299999999999997,1258000,1.69,4,0,2,1,1
0,12,3.5999999999999943,799000,1.07,3,0,2,1,1
0,120,8.700000000000003,968000,1.3,2,0,1,2,0
0,69,0.0,1388000,1.86,4,0,3,1,1
0,73,3.5999999999999943,1049800,1.41,3,0,1,1,1
0,45,3.9000000000000057,1298000,1.74,3,0,2,2,1
0,69,7.400000000000006,988800,1.33,3,0,1,2,1
0,63,1.9000000000000057,1058000,1.42,4,0,1,2,0
0,97,0.0,2548000,3.42,3,0,1,0,2
0,106,0.0,2575000,3.46,3,0,1,0,1
0,91,3.5,2499000,3.35,11,0,1,1,1
0,385,13.400000000000006,778000,1.04,5,0,3,10,1
0,7,0.0,899000,1.4,6,0,1,0,0
0,26,0.0,1150000,1.79,5,0,2,3,2
0,11,0.0,1098000,1.71,6,0,4,2,1
0,9,0.0,765000,1.19,6,0,2,4,2
0,48,0.0,495000,0.77,5,0,4,0,0
0,10,0.0,1598000,2.49,6,0,2,0,1
0,33,0.0,699000,1.09,5,0,2,0,1
0,21,0.0,849000,1.32,5,0,3,4,2
0,43,0.0,699988,1.09,5,0,1,0,0
0,52,0.0,1078000,1.68,4,0,5,1,2
0,24,0.0,818888,1.27,5,0,5,2,2
0,12,4.900000000000006,1188000,1.85,5,0,1,1,1
0,58,3.0999999999999943,599000,0.93,3,0,4,5,1
0,36,5.400000000000006,595000,0.93,4,0,3,1,2
0,43,2.700000000000003,708000,1.1,4,0,1,1,0
0,79,0.0,858000,1.33,4,0,1,0,2
0,82,11.599999999999994,749995,1.17,3,0,2,15,2
0,9,0.0,625000,0.97,6,0,1,0,0
0,52,0.0,739000,1.15,4,0,1,0,0
0,80,0.0,1188888,1.85,4,0,1,0,0
0,56,0.0,1288000,2.0,4,0,1,0,1
0,50,0.0,949000,1.48,5,0,1,0,2
0,30,0.0,1195000,1.86,5,0,2,2,1
0,71,0.0,679000,1.06,4,0,1,0,0
0,12,2.200000000000003,929000,1.45,5,0,2,1,0
0,17,0.0,1688800,2.63,6,0,1,0,1
0,80,0.0,1188888,1.85,4,0,1,0,0
0,29,0.0,768000,1.19,5,0,1,0,0
0,110,9.799999999999997,559000,0.87,2,0,1,3,1
0,36,0.0,668000,1.04,5,0,4,1,1
0,309,4.0,2490000,3.87,6,0,4,6,0
0,71,7.599999999999994,720000,1.12,3,0,1,2,1
0,93,0.0,838000,1.3,3,0,3,0,1
0,43,0.0,3290000,5.12,5,0,5,11,2
0,27,13.299999999999997,1299888,2.02,3,0,2,2,2
0,50,0.0,828000,1.29,5,0,2,0,1
0,195,14.299999999999997,445001,0.69,12,5,2,15,2
0,77,6.099999999999994,824888,1.28,3,0,2,4,1
0,50,2.799999999999997,899000,1.4,4,0,4,2,2
0,70,0.0,948000,1.47,4,0,2,0,0
0,53,8.799999999999997,1995000,3.1,3,0,4,2,3
0,197,0.0,995000,1.55,12,0,2,1,0
0,123,0.0,898000,1.4,2,0,2,0,0
0,23,5.700000000000003,1178000,1.83,2,0,1,1,0
0,223,6.5,865000,1.35,10,0,2,2,2
0,148,9.099999999999994,698000,1.09,10,0,2,2,2
0,9,0.0,1590000,2.36,6,0,4,9,1
0,19,0.0,1485000,2.21,6,0,2,0,1
0,25,2.299999999999997,859000,1.28,4,0,1,1,2
0,56,0.0,649000,0.97,4,0,3,5,1
0,99,2.799999999999997,824999,1.23,2,0,2,2,2
0,251,25.099999999999994,898000,1.34,8,0,2,5,3
1,80,7.400000000000006,490000,0.29,3,5,1,1,1
1,179,6.599999999999994,765000,0.45,11,5,1,1,1
1,107,10.5,2675000,1.58,1,5,3,1,3
1,79,1.5999999999999943,1570000,0.93,2,5,4,2,3
